"","network","region","country","latitude","longitude","reference"
"60",60,"Lowland South America","Brazil",-22.5,-44.83,"Canela (2006) Ph.D thesis. University of Campinas, Brazil."
"61",61,"Lowland South America","Brazil",-22.73,-45.58,"Sazima et al. (1996) Bot. Acta, 109, 149–160"
"62",62,"Lowland South America","Brazil",-23.28,-45.05,"Vizentin-Bugoni et al. (2016) J. Anim. Ecol., 85, 262–272"
"63",63,"Lowland South America","Brazil",-23.32,-44.94,"Maruyama et al. (2015) Oecologia, 178,783–793"
"64",64,"Lowland South America","Brazil",-23.33,-44.83,"Maruyama et al. (2015) Oecologia, 178,783–793"
"65",65,"Lowland South America","Brazil",-23.35,-44.83,"Own unpublished data"
"66",66,"Lowland South America","Brazil",-23.36,-44.85,"Maruyama et al. (2015) Oecologia, 178,783–793"
"67",67,"Lowland South America","Brazil",-23.63,-45.85,"Snow & Snow (1986) Hornero, 12, 286–296"
"68",68,"Lowland South America","Brazil",-24.18,-47.93,"Own unpublished data"
"69",69,"Lowland South America","Brazil",-24.56,-47.23,"Own unpublished data"
"70",70,"Lowland South America","Brazil",-25.32,-48.7,"Own unpublished data"
"71",71,"Lowland South America","Brazil",-27.25,-49,"Own unpublished data"
"72",72,"Lowland South America","Brazil",-27.25,-49,"Own unpublished data"
"73",73,"Lowland South America","Brazil",-27.25,-49,"Own unpublished data"
"74",74,"Lowland South America","Brazil",-31.8,-52.42,"Own unpublished data"
"75",75,"Andes","Ecuador",-4.11,-78.97,"Sonne et al. (2019) Biotropica 51, 205–218"
"76",76,"Andes","Ecuador",-4.11,-79.17,"Sonne et al. (2019) Biotropica 51, 205–218"
"77",77,"Andes","Ecuador",-3.97,-79.07,"Sonne et al. (2019) Biotropica 51, 205–218"
"78",78,"Andes","Peru",-9.71,-76.16,"Gonzalez & Loiselle (2016) PeerJ, 4, e2789."
"79",79,"Central & North America","Mexico",20.52,-100.35,"Own unpublished data"
"80",80,"Central & North America","Mexico",20.76,-100.35,"Own unpublished data"
"81",81,"Andes","Ecuador",0.12,-78.63,"Graham & Weinstein (2018) Ecol. Lett., 21, 1299–1310"
"82",82,"Andes","Ecuador",0.12,-78.6,"Graham & Weinstein (2018) Ecol. Lett., 21, 1299–1310"
"83",83,"Andes","Colombia",4.67,-75.57,"Own unpublished data"
"84",84,"Andes","Colombia",4.58,-75.86,"Own unpublished data"
"85",85,"Lowland South America","Brazil",-18.2,-43.57,"Own unpublished data"
"86",86,"Lowland South America","Brazil",-21.62,-47.81,"Own unpublished data"
"87",87,"Central & North America","Mexico",15.59,-92.85,"Partida-Lara et al. (2018) J. Trop. Ecol., 34, 293–307"
"88",88,"Central & North America","Mexico",15.63,-92.81,"Partida-Lara et al. (2018) J. Trop. Ecol., 34, 293–307"
"89",89,"Central & North America","Mexico",15.66,-92.81,"Partida-Lara et al. (2018) J. Trop. Ecol., 34, 293–307"
"90",90,"Central & North America","Mexico",16.75,-92.69,"Partida-Lara et al. (2012) Rev. Biol. Trop., 60, 1621-1630"
"91",91,"Lowland South America","Brazil",-23.58,-45.33,"Buzato et al. (2000) Biotropica, 32, 824-841"
