"","family","species","network","corolla","nectar","color","colorCode","introduced","speciesOld"
"384","Gesneriaceae","Glossoloma bolivianum","35",39,5.6,NA,NA,"","Glossoloma bolivianum"
"395","Ericaceae","Macleania recumbens","35",22,15.2,NA,NA,"","Macleania recumbens"
"398","Rubiaceae","Palicourea anderssoniana","35",21,NA,NA,NA,"","Palicourea anderssoniana"
"399","Rubiaceae","Palicourea sodiroi","35",18,16,NA,NA,"","Palicourea sodiroi"
"401","Ericaceae","Psammisia oreogenes","35",18,18.3,NA,NA,"","Psammisia oreogenes"
"409","Asteraceae","Verbesina latisquama","36",4.69,22.1,NA,NA,"","Verbesina latisquama"
"411","Gesneriaceae","Columnea peruviana","37",48.08,14.5,NA,NA,"","Columnea peruviana"
"412","Melastomataceae","Miconia denticulata","37",2.22,NA,NA,NA,"","Miconia denticulata"
"416","Asteraceae","Chuquiraga jussieui","38",22.2,NA,NA,NA,"","Chuquiraga jussieui"
"417","Ericaceae","Gaultheria tomentosa","38",5.46,NA,NA,NA,"","Gaultheria tomentosa"
"419","Bromeliaceae","Aechmea williamsii","39",33,23.6,"Flowers blue-purple with pink-white bases, bracts pink-red","2","","Aechmea williamsii"
"420","Combretaceae","Combretum llewelynii","39",20,NA,"Orange/Red","3","","Combretum llewelynii"
"421","Rubiaceae","Genipa americana","39",10,NA,"White","1","","Genipa americana"
"423","Marantaceae","Goeppertia capitata","39",12,10.4,"White/Purple","1","","Goeppertia capitata"
"424","Cucurbitaceae","Gurania rhizantha","39",10,13.7,"Red","3","","Gurania rhizantha"
"425","Heliconiaceae","Heliconia juruana","39",40,29.7,"Red","3","","Heliconia juruana"
"426","Heliconiaceae","Heliconia schumanniana","39",15,28.1,"Red","3","","Heliconia schumanniana"
"427","Fabaceae","Inga laevigata","39",10,22.5,"Petals and sepals green-red, stamens yellow-white","1","","Inga leiocalycina"
"428","Malvaceae","Matisia lasiocalyx","39",NA,NA,"Yellow/Brown ","1","","Quararibea lasiocalyx"
"429","Rubiaceae","Palicourea fastigiata","39",15,NA,"Yellow","1","","Palicourea fastigiata"
"430","Rubiaceae","Palicourea lasiantha","39",15,NA,"Purple","1","","Palicourea lasiantha"
"432","Passifloraceae","Passiflora involucrata","39",25,34.9,"Orange/Red","3","","Passiflora involucrata"
"433","Passifloraceae","Passiflora quadriglandulosa","39",25,NA,"Red","3","","Passiflora quadriglandulosa"
"434","Passifloraceae","Passiflora spinosa","39",45,21,"Red","3","","Passiflora spinosa"
"435","Loranthaceae","Psittacanthus cucullaris","39",27,NA,"Red/Yellow","2","","Psittacanthus cucullaris"
"437","Acanthaceae","Sanchezia munita","39",40,17.5,"Red/Yellow","2","","Sanchezia munita"
"438","Acanthaceae","Sanchezia putumayensis","39",40,17.2,"Red/Pink","2","","Sanchezia putumayensis"
"439","Fabaceae","Tachigali paniculata","39",5,NA,"Yellow","1","","Tachigali paniculata"
"440","Apocynaceae","Allamanda blanchetii","40",NA,NA,"Purple","1","","Allamanda blanchetii"
"441","Fabaceae","Anadenanthera colubrina","40",NA,NA,"White","1","","Anadenanthera colubrina"
"442","Fabaceae","Bauhinia cheilantha","40",NA,NA,"Pink","2","","Bauhinia cheilantha"
"443","Malvaceae","Ceiba glaziovii","40",NA,NA,"White","1","","Ceiba glaziovii"
"444","Fabaceae","Cenostigma pyramidale","40",NA,NA,"Yellow","1","","Caesalpinia pyramidalis"
"445","Asteraceae","Chresta pacourinoides","40",NA,NA,"Purple","1","","Pithecoseris pacourinoides"
"446","Vitaceae","Cissus verticillata","40",NA,NA,"White","1","","Cissus verticillata"
"447","Vitaceae","Clematicissus pruinata","40",NA,NA,"Pink","2","","Clematicissus pruinata"
"448","Euphorbiaceae","Cnidoscolus halteris","40",NA,NA,"White","1","","Cnidoscolus halteris"
"449","Euphorbiaceae","Cnidoscolus pubescens","40",NA,NA,"White","1","","Cnidoscolus pubescens"
"450","Asteraceae","Conocliniopsis grossedentata","40",NA,NA,"Purple","1","","Conocliniopsis prasiifolia"
"451","Euphorbiaceae","Croton blanchetianus","40",NA,NA,"White","1","","Croton blanchetianus"
"452","Bromeliaceae","Encholirium spectabile","40",NA,NA,"Yellow","1","","Encholirium spectabile"
"453","Bromeliaceae","Hohenbergia catingae","40",NA,NA,"Purple","1","","Hohenbergia catingae"
"455","Euphorbiaceae","Jatropha mollissima","40",NA,NA,"Yellow/Pink","1","","Jatropha mollissima"
"456","Fabaceae","Macropsychanthus grandiflorus","40",NA,NA,"Purple","1","","Dioclea grandiflora"
"457","Cactaceae","Melocactus zehntneri","40",NA,NA,"Pink","2","","Melocactus zehntneri"
"458","Lamiaceae","Mesosphaerum pectinatum","40",NA,NA,"Pink","2","","Hyptis pectinata"
"459","Oxalidaceae","Oxalis psoraleoides","40",NA,NA,"White","1","","Oxalis psoraleoides"
"461","Plumbaginaceae","Plumbago zeylanica","40",NA,NA,"White","1","","Plumbago zeylanica"
"463","Acanthaceae","Ruellia asperula","40",NA,NA,"Red","3","","Ruellia asperula"
"464","Rubiaceae","Staelia galioides","40",NA,NA,"White","1","","Staelia galioides"
"465","Cactaceae","Tacinga palmadora","40",NA,NA,"Red","3","","Tacinga palmadora"
"466","Malvaceae","Waltheria rotundifolia","40",NA,NA,"Yellow","1","","Waltheria rotundifolia"
"467","Cactaceae","Xiquexique gounellei","40",NA,NA,"White","1","","Pilosocereus gounellei"
"468","Cucurbitaceae","Apodanthera villosa","41",12.6,17.05,"Yellow/Orange","2","","Apodanthera villosa"
"469","Bromeliaceae","Encholirium brachypodum","41",10.71,28.4,"Yellow","1","","Encholirium brachypodum"
"470","Lamiaceae","Eplingiella cuniloides","41",NA,NA,"Blue","1","","Hyptis cuniloides"
"471","Lamiaceae","Eriope latifolia","41",7.53,22.5,"Pink","2","","Eriope latifolia"
"472","Bignoniaceae","Handroanthus selachidentatus","41",41.55,22.2,"Purple","1","","Handroanthus selachidentatus"
"474","Euphorbiaceae","Jatropha mutabilis","41",NA,15.4,"Red","3","","Jatropha mutabilis"
"475","Asteraceae","Lessingianthus linearis","41",7.39,NA,"Lilac","1","","Lessingianthus linearis"
"476","Loranthaceae","Ligaria teretiflora","41",19.82,22.7,"Red","3","","Ligaria teretiflora"
"477","Cactaceae","Melocactus ernestii","41",19.95,27,"Pink","2","","Melocactus ernestii"
"478","Cactaceae","Melocactus pruinosus","41",20.9,18,"Pink","2","","Melocactus concinnus"
"479","Cactaceae","Micranthocereus flaviflorus","41",17.49,20.1,"Orange","3","","Micranthocereus flaviflorus"
"480","Fabaceae","Mysanthus uleanus","41",NA,20,"Lilac","1","","Mysanthus uleanus"
"481","Bromeliaceae","Neoglaziovia variegata","41",19.02,21,"Lilac/Red","2","","Neoglaziovia variegata"
"482","Apocynaceae","Nephradenia asparagoides","41",NA,NA,"White","1","","Nephradenia asparagoides"
"483","Passifloraceae","Passiflora luetzelburgii","41",18.69,26.4,"Red","3","","Passiflora luetzelburgii"
"484","Cactaceae","Pilosocereus pachycladus","41",51.2,18.5,"White","1","","Pilosocereus pachycladus"
"485","Sapindaceae","Serjania caracasana","41",NA,22.75,"White","1","","Serjania caracasana"
"486","Cactaceae","Tacinga werneri","41",22.2,22,"Orange","3","","Opuntia werneri"
"487","Loranthaceae","Tripodanthus acutifolius","41",5.11,19.45,"White","1","","Tripodanthus acutifolius"
"488","Bromeliaceae","Ananas comosus","42",9.2,NA,"Lilac","1","","Ananas comosus"
"490","Heliconiaceae","Heliconia metallica","42",51.6,NA,"Red/Pink","2","","Heliconia metallica"
"491","Heliconiaceae","Heliconia rostrata","42",42,NA,"Red/Yellow","2","","Heliconia rostrata"
"493","Convolvulaceae","Aniseia martinicensis","43",NA,NA,"Yellow","1","","Aniseia martinicensis"
"494","Velloziaceae","Barbacenia blanchetii","43",63.61,23.52,"Red","3","","Barbacenia blanchetii"
"495","Apocynaceae","Blepharodon pictum","43",NA,NA,"White","1","","Blepharodon pictum"
"496","Fabaceae","Calliandra hygrophila","43",NA,19.05,"Red","3","","Calliandra hygrophila"
"497","Fabaceae","Calliandra mucugeana","43",NA,18.03,"Red","3","","Calliandra mucugeana"
"498","Fabaceae","Calliandra viscidula","43",NA,16.85,NA,NA,"","Calliandra viscidula"
"499","Orchidaceae","Cattleya elongata","43",NA,NA,"Purple","1","","Cattleya elongata"
"500","Clusiaceae","Clusia melchiorii","43",NA,NA,"White","1","","Clusia melchiorii"
"501","Apocynaceae","Ditassa retusa","43",NA,NA,"White","1","","Ditassa retusa"
"502","Humiriaceae","Humiria balsamifera","43",NA,NA,"White","1","","Humiria balsamifera"
"503","Bignoniaceae","Jacaranda irwinii","43",31.8,NA,"Purple","1","","Jacaranda irwinii"
"504","Asteraceae","Lepidaploa cotoneaster","43",4.57,NA,"Purple","1","","Lepidaploa cotoneaster"
"505","Euphorbiaceae","Manihot jacobinensis","43",17.3,38.66,"Yellow/Red","2","","Manihot jacobinensis"
"506","Euphorbiaceae","Manihot reniformis","43",12.48,20.2,"Yellow/Red","2","","Manihot reniformis"
"507","Cactaceae","Micranthocereus purpureus","43",27.6,15.5,"Pink","2","","Micranthocereus purpureus"
"508","Malvaceae","Pavonia luetzelburgii","43",26.19,16.15,"Red","3","","Pavonia luetzelburgii"
"509","Asteraceae","Pseudostifftia kingii","43",5.93,NA,"Purple","1","","Pseudostifftia kingii"
"510","Bromeliaceae","Sincoraea albopicta","43",12.7,25.25,"White/Red","2","","Orthophytum albopictum"
"511","Campanulaceae","Siphocampylus imbricatus","43",54.24,17.5,"Yellow","1","","Siphocampylus imbricatus"
"512","Loganiaceae","Spigelia pulchella","43",37.47,23,"Red","3","","Spigelia pulchella"
"513","Verbenaceae","Stachytarpheta crassifolia","43",16.62,19.2,"Blue","1","","Stachytarpheta crassifolia"
"514","Apocynaceae","Stipecoma peltigera","43",17.13,NA,"Purple","1","","Stipecoma peltigera"
"515","Vochysiaceae","Vochysia pyramidalis","43",14.18,24.41,"Yellow","1","","Vochysia pyramidalis"
"516","Malvaceae","Waltheria cinerescens","43",NA,NA,"Yellow","1","","Waltheria cinerescens"
"517","Alstroemeriaceae","Alstroemeria rupestris","44",38.5,33,"Red/Orange","3","","Alstroemeria rupestris"
"518","Acanthaceae","Anisacanthus brasiliensis","44",22.1,31,"Red","3","","Anisacanthus brasiliensis"
"519","Rubiaceae","Augusta longifolia","44",51.4,21.5,"Red","3","","Augusta longifolia"
"520","Fabaceae","Bauhinia longifolia","44",0,23,"Brown/Red","2","","Bauhinia longifolia"
"522","Boraginaceae","Cordia superba","44",32.6,26.4,"White","1","","Cordia superba"
"523","Bignoniaceae","Cuspidaria simplicifolia","44",44.3,NA,"Yellow","1","","Cuspidaria simplicifolia"
"524","Asteraceae","Dasyphyllum candolleanum","44",NA,NA,"White","1","","Dasyphyllum candolleanum"
"525","Malvaceae","Helicteres eichleri","44",21.2,21.2,"Yellow/Red","2","","Helicteres eichleri"
"526","Lamiaceae","Hyptis leptostachys","44",7.2,31.5,"Blue","1","","Hyptis leptostachys"
"529","Lythraceae","Lafoensia glyptocarpa","44",0,NA,"White","1","","Lafoensia glyptocarpa"
"530","Apocynaceae","Mandevilla scabra","44",41.1,NA,"Red/Yellow","2","","Mandevilla scabra"
"531","Fabaceae","Nissolia subulata","44",0,NA,"Yellow","1","","Chaetocalyx subulatus"
"532","Bromeliaceae","Orthophytum lemei","44",12.5,25.5,"Yellow/Red","2","","Orthophytum lemei"
"533","Passifloraceae","Passiflora edmundoi","44",0,NA,NA,NA,"","Passiflora edmundoi"
"535","Fabaceae","Periandra coccinea","44",0,NA,"Red","3","","Periandra coccinea"
"537","Sapindaceae","Serjania coradinii","44",0,NA,"White","1","","Serjania coradinii"
"538","Verbenaceae","Stachytarpheta quadrangula","44",18.4,NA,"Blue","1","","Stachytarpheta quadrangula"
"539","Fabaceae","Calliandra sessilis","45",0,NA,"White/Red","2","","Calliandra sessilis"
"540","Fabaceae","Calliandra sincorana","45",0,NA,"Red","3","","Calliandra sincorana"
"541","Bromeliaceae","Dyckia dissitiflora","45",12.7,19.4,"Orange ","3","","Dyckia dissitiflora"
"543","Asteraceae","Lychnophora rosmarinifolia","45",10.2,NA,"Blue","1","","Lychnophora rosmarinifolia"
"544","Asteraceae","Lychnophora salicifolia","45",10.3,NA,"Blue","1","","Lychnophora salicifolia"
"546","Malvaceae","Sida cordifolia","45",0,NA,NA,NA,"","Sida cordifolia"
"547","Asteraceae","Baccharis salicifolia","46",NA,NA,"White","1","","Baccharis salicifolia"
"548","Asteraceae","Barnadesia horrida","46",40.34,24.42,"Pink","2","","Barnadesia horrida"
"549","Melastomataceae","Brachyotum nutans","46",25.64,NA,"Purple","1","","Brachyotum nutans"
"550","Asteraceae","Gynoxys longifolia","46",NA,NA,"White","1","","Gynoxys longifolia"
"551","Myrtaceae","Myrcianthes oreophila","46",NA,NA,"White","1","","Myrcianthes oreophila"
"552","Bromeliaceae","Puya ferruginea","46",74.25,NA,"White/Green ","1","","Puya ferruginea"
"553","Bromeliaceae","Aechmea miniata","47",14.3,26.5,"Red/Blue","2","","Aechmea miniata"
"554","Acanthaceae","Aphelandra nitida","47",29.1,13.5,"Orange","3","","Geissomeria macrophylla"
"555","Marantaceae","Goeppertia crocata","47",20.95,18.45,"Orange/Red/Yellow","2","","Calathea crocata"
"556","Cucurbitaceae","Gurania acuminata","47",10.65,6.25,"Orange","3","","Gurania acuminata"
"557","Heliconiaceae","Heliconia richardiana","47",17.07,22.32,"Red/Yellow","2","","Heliconia richardiana"
"558","Bromeliaceae","Hohenbergia capitata","47",6.15,NA,"Red/Blue","2","","Hohenbergia capitata"
"559","Bromeliaceae","Lymania brachycaulis","47",19.54,22.95,"Red/White","2","","Lymania brachycaulis"
"560","Gesneriaceae","Nematanthus corticola","47",61.32,21.55,"Red/Wine","3","","Nematanthus corticola"
"562","Acanthaceae","Ruellia affinis","47",30,NA,"Red","3","","Ruellia affinis"
"563","Bromeliaceae","Wittmackia viridostigma","47",15.03,NA,"Orange/White","3","","Aechmea viridostigma"
"564","Gesneriaceae","Besleria rotundifolia","48",25.7,NA,"Orange","3","","Besleria rotundifolia"
"565","Acanthaceae","Justicia tenuistachys","48",28.4,NA,"Red","3","","Justicia tenuistachys"
"566","Passifloraceae","Passiflora coccinea","48",76,NA,"Red","3","","Passiflora coccinea"
"567","Acanthaceae","Ruellia inflata","48",46.8,NA,"Red","3","","Ruellia inflata"
"568","Rutaceae","Erythrochiton fallax","49",47.2,NA,"White/Red","2","","Erythrochiton fallax"
"569","Heliconiaceae","Heliconia subulata","49",30.4,NA,"Yellow/Red","2","","Heliconia subulata"
"570","Acanthaceae","Suessenguthia multisetosa","49",35.4,NA,"Pink","2","","Suessenguthia multisetosa"
"571","Bignoniaceae","Adenocalymma campicola","50",NA,20.3,"Yellow","1","","Adenocalymma campicola"
"572","Rubiaceae","Palicourea coriacea","50",NA,24.67,"Yellow","1","","Palicourea coriacea"
"573","Solanaceae","Cestrum schlechtendalii","51",31.4,23.64,"White","1","","Cestrum schlechtendahlii"
"574","Rubiaceae","Coussarea hydrangeifolia","52",10.3,23.6,"White","1","","Coussarea hydrangeifolia"
"575","Malvaceae","Helicteres sacarolha","52",33.3,21.4,"Red","3","","Helicteres sacarolha"
"576","Verbenaceae","Stachytarpheta gesnerioides","52",25.4,13.8,"Blue","1","","Stachytarpheta gesnerioides"
"577","Asteraceae","Acritopappus longifolius","53",5.58,NA,"Pink","2","","Acritopappus longifolius"
"578","Bromeliaceae","Aechmea lamarchei","53",14.4,25.8,"Green/Blue/Lilac","1","","Aechmea lamarchei"
"579","Velloziaceae","Barbacenia gentianoides","53",40,NA,"Yellow/Orange","2","","Barbacenia gentianoides"
"580","Velloziaceae","Barbacenia luzulifolia","53",40,NA,"Red","3","","Barbacenia luzulifolia"
"581","Gentianaceae","Calolisianthus pendulus","53",28.5,26,"Red","3","","Calolisianthus pendulus"
"582","Asteraceae","Chronopappus bifrons","53",7.66,NA,"Lilac","1","","Chronopappus bifrons"
"584","Asteraceae","Eremanthus crotonoides","53",2,NA,"Pink","2","","Eremanthus crotonoides"
"585","Erythroxylaceae","Erythroxylum vaccinifolium","53",0,NA,"White","1","","Erythroxylum vaccinifolium"
"586","Ericaceae","Gaylussacia montana","53",8.16,NA,"White","1","","Gaylussacia montana"
"587","Ericaceae","Gaylussacia oleifolia","53",6.38,27.8,"White","1","","Gaylussacia oleifolia"
"588","Theaceae","Gordonia fruticosa","53",0,NA,"White","1","","Gordonia fruticosa"
"589","Amaryllidaceae","Hippeastrum cipoanum","53",49,NA,"Red","3","","Hippeastrum cipoanum"
"590","Asteraceae","Hololepis pedunculata","53",19.12,23.5,"Lilac","1","","Hololepis pedunculata"
"593","Asteraceae","Lessingianthus roseus","53",4.4,28,"Pink","2","","Lessingianthus roseus"
"595","Myrtaceae","Myrcia lasiantha","53",0,NA,"White","1","","Myrcia lasiantha"
"596","Gesneriaceae","Nematanthus strigillosus","53",17.6,22.4,"Red","3","","Nematanthus strigillosus"
"597","Rubiaceae","Palicourea sessilis","53",6.76,34.34,"White","1","","Psychotria vellosiana"
"598","Cactaceae","Pilosocereus aurisetus","53",34,16,"White/Red","2","","Pilosocereus aurisetus"
"599","Asteraceae","Piptolepis leptospermoides","53",2.5,NA,"Pink","2","","Piptolepis leptospermoides"
"601","Campanulaceae","Siphocampylus fimbriatus","53",46.6,19.92,"Red ","3","","Siphocampylus fimbriatus"
"602","Verbenaceae","Stachytarpheta mexiae","53",15.05,23.25,"Blue","1","","Stachytarpheta mexiae"
"603","Asteraceae","Trixis vauthieri","53",6.16,20,"Yellow","1","","Trixis vauthieri"
"604","Velloziaceae","Vellozia epidendroides","53",33,NA,"Lilac","1","","Vellozia epidendroides"
"605","Asteraceae","Vernonanthura phosphorica","53",2.5,NA,"White","1","","Vernonanthura phosphorica"
"606","Vochysiaceae","Vochysia emarginata","53",11.2,NA,"Yellow","1","","Vochysia emarginata"
"608","Bromeliaceae","Vriesea medusa","53",45,17,"Yellow/Green","1","","Vriesea medusa"
"609","Fabaceae","Centrosema brasilianum","54",NA,NA,"Lilac","1","","Centrosema brasilianum"
"610","Boraginaceae","Cordia glabrata","54",25.8,NA,"White","1","","Cordia glabrata"
"611","Malvaceae","Helicteres guazumifolia","54",22.3,21.4,"Red","3","","Helicteres guazumifolia"
"612","Amaryllidaceae","Hippeastrum puniceum","54",40,NA,"Orange","3","","Hippeastrum puniceum"
"613","Rubiaceae","Sabicea aspera","54",13,NA,"White","1","","Sabicea aspera"
"615","Velloziaceae","Barbacenia williamsii","55",22,NA,"Yellow","1","","Barbacenia williamsii"
"616","Fabaceae","Centrosema coriaceum","55",24,NA,"Purple","1","","Centrosema coriaceum"
"618","Malvaceae","Pavonia viscosa","55",31,NA,"Orange-Red/Yellow/Brown","2","","Pavonia viscosa"
"619","Gesneriaceae","Sinningia rupicola","55",34,NA,"Reddish-Pink","2","","Sinningia rupicola"
"620","Convolvulaceae","Distimake macrocalyx","56",NA,NA,"Cream","1","","Merremia macrocalyx"
"621","Bignoniaceae","Fridericia florida","56",23.1,NA,"White","1","","Fridericia florida"
"622","Bignoniaceae","Fridericia triplinervia","56",41.1,21,"Lilac","1","","Fridericia triplinervia"
"623","Bignoniaceae","Handroanthus heptaphyllus","56",NA,NA,"Lilac","1","","Handroanthus heptaphyllus"
"625","Caricaceae","Jacaratia spinosa","56",15.6,NA,"Green","1","","Jacaratia spinosa"
"626","Cucurbitaceae","Psiguria ternata","56",14,18.5,"Pink","2","","Psiguria ternata"
"627","Sapindaceae","Serjania altissima","56",NA,NA,"White","1","","Serjania glutinosa"
"628","Bromeliaceae","Bromelia karatas","57",60,42,"Red/cream/purple","2","","Bromelia karatas"
"629","Malvaceae","Eriotheca pubescens","57",36,NA,"White","1","","Eriotheca pubescens"
"630","Malvaceae","Luehea paniculata","57",NA,NA,"White","1","","Luehea paniculata"
"631","Sapindaceae","Serjania ovalifolia","57",0.59,NA,"White","1","","Serjania ovalifolia"
"632","Simaroubaceae","Simarouba versicolor","57",NA,NA,"Purple","1","","Simarouba versicolor"
"633","Verbenaceae","Verbena hirta","57",NA,NA,"Blue-violet","1","","Verbena hirta"
"641","Apocynaceae","Mandevilla guanabarica","59",34.7,32.5,"Yellow","1","","Mandevilla guanabarica"
"642","Cactaceae","Melocactus violaceus","59",13,25.7,"Red","3","","Melocactus violaceus"
"643","Bromeliaceae","Neoregelia cruenta","59",30.3,31.9,"Purple","1","","Neoregelia cruenta"
"644","Bromeliaceae","Quesnelia quesneliana","59",38,25.5,"Red","3","","Quesnelia quesneliana"
"645","Bromeliaceae","Vriesea neoglutinosa","59",34,24.9,"Yellow/Red","2","","Vriesea neoglutinosa"
"646","Malvaceae","Callianthe bedfordiana","60",31.7,14.25,"Pink/Cream","1","","Abutilon bedfordianum"
"647","Acanthaceae","Justicia sebastianopolitanae","60",28.8,21.9,"Red ","3","","Justicia sebastianopolitanae"
"648","Rubiaceae","Manettia mitis","60",30.5,16.05,"Red","3","","Manettia mitis"
"650","Gesneriaceae","Nematanthus crassifolius","60",48.7,25.24,"Red/Orange","3","","Nematanthus crassifolius"
"651","Gesneriaceae","Nematanthus lanceolatus","60",28.7,NA,"Red/Yellow","2","","Nematanthus lanceolatus"
"652","Bromeliaceae","Nidularium itatiaiae","60",41,8.25,"White/Red","2","","Nidularium itatiaiae"
"653","Acanthaceae","Odontonema barlerioides","60",40.5,14.7,"Red/Wine","2","","Odontonema barleriodes"
"654","Rubiaceae","Palicourea rudgeoides","60",20.7,23.1,"Red/Yellow","2","","Palicourea rudgeoides"
"655","Bromeliaceae","Pitcairnia flammea","60",37.1,14.72,"Red","3","","Pitcairnia flammea"
"656","Loranthaceae","Psittacanthus brasiliensis","60",29.4,NA,"Orange","3","","Psittacanthus flavo-viridis"
"657","Bromeliaceae","Quesnelia augusto-coburgii","60",34.9,23.76,"Red/Violet","2","","Quesnelia augusto-coburgii"
"658","Gesneriaceae","Sinningia gigantifolia","60",39,23.7,"Red","3","","Sinningia gigantifolia"
"659","Acanthaceae","Staurogyne itatiaiae","60",17.3,14.9,"Red/Pink","2","","Staurogyne itatiaiae"
"660","Marantaceae","Stromanthe thalia","60",9.7,NA,"Red/Pink","2","","Stromanthe thalia"
"661","Orobanchaceae","Vellosiella dracocephaloides","60",53.2,14.18,"Orange","3","","Vellosiella dracocephaloides"
"662","Bromeliaceae","Vriesea longicaulis","60",51.9,NA,"Yellow","1","","Vriesea longicaulis"
"665","Malvaceae","Callianthe regnellii","61",34.2,16.6,"Pink","2","","Abutilon regnellii"
"666","Solanaceae","Cestrum corymbosum","61",14.8,14,"Yellow","1","","Cestrum corymbosum"
"667","Rubiaceae","Manettia pubescens","61",42.9,25.2,"Red","3","","Manettia pubescens"
"668","Lamiaceae","Salvia arenaria","61",15.7,26,"Red","3","","Salvia arenaria"
"669","Campanulaceae","Siphocampylus westinianus","61",31.4,20,"Red/Yellow","2","","Siphocampylus westinianus"
"670","Bromeliaceae","Vriesea sceptrum","61",35.8,20.3,"Orange ","3","","Vriesea sceptrum"
"671","Bromeliaceae","Aechmea gamosepala","62",10.4,22,"Pink with small purple flowers","2","","Aechmea gamosepala"
"672","Acanthaceae","Aphelandra colorata","62",32.4,22.5,"Yellow flower with red bracts","3","","Aphelandra colorata"
"673","Bromeliaceae","Edmundoa perplexa","62",29.3,23.63,"Pink bracts with white flowers","1","","Canistrum perplexum"
"674","Fabaceae","Inga sessilis","62",11.1,9.3,"White","1","","Inga sessilis"
"676","Gentianaceae","Macrocarpaea rubra","62",21.4,10.98,"Yellow","1","","Macrocarpaea rubra"
"677","Gesneriaceae","Nematanthus maculatus","62",37.8,NA,"Pink/Red","2","","Nematanthus maculatus"
"678","Bromeliaceae","Nidularium longiflorum","62",44.4,26.9,"White flowers with red bracts","2","","Nidularium longiflorum"
"679","Bromeliaceae","Nidularium rutilans","62",31.9,NA,"White flowers with red bracts","2","","Nidularium rutilans"
"680","Rubiaceae","Psychotria leiocarpa","62",17.5,NA,"White","1","","Psychotria leiocarpa"
"681","Gesneriaceae","Sinningia glazioviana","62",30.8,25.4,"Red/Orange","3","","Sinningia glazioviana"
"682","Campanulaceae","Siphocampylus convolvulaceus","62",31.4,11.67,"Pink","2","","Siphocampylus convolvulaceus"
"683","Campanulaceae","Siphocampylus lauroanus","62",39.2,15,"Orange/Yellow","2","","Siphocampylus lauroanus"
"684","Bromeliaceae","Tillandsia dura","62",13.6,10.9,"Pink bracts with purple flowers","1","","Tillandsia dura"
"686","Bromeliaceae","Vriesea inflata","62",33.9,11.25,"Red/Orange bracts with yellow flowers","2","","Vriesea inflata"
"687","Bromeliaceae","Vriesea simplex","62",33.5,25.83,"Red bracts with yelow/green flowers","2","","Vriesea simplex"
"689","Bromeliaceae","Wittrockia superba","62",14.3,26.42,"Red bracts with white flowers","2","","Canistrum superbum"
"690","Acanthaceae","Ruellia elegans","63",31.9,20.3,"Red","3","","Ruellia elegans"
"691","Bromeliaceae","Nidularium angustifolium","64",39,32.1,"White flowers with pink bracts","1","","Nidularium angustifolium"
"692","Acanthaceae","Sanchezia oblonga","64",46.6,21.3,"Yellow","1","","Sanchezia nobilis"
"693","Chrysobalanaceae","Couepia schottii","65",9.1,NA,"White","1","","Couepia schottii"
"695","Fabaceae","Hydrochorea pedicellaris","65",NA,NA,"White","1","","Albizia pedicellaris"
"697","Bignoniaceae","Jacaranda puberula","65",52.4,NA,"Purple","1","","Jacaranda puberula"
"698","Convolvulaceae","Jacquemontia sphaerostigma","65",23.1,NA,"Blue","1","","Jacquemontia sphaerostigma"
"699","Fabaceae","Jupunba brachystachya","65",9.6,12.7,"White","1","","Abarema brachystachya"
"700","Verbenaceae","Lantana nivea","65",11.6,NA,"White","1","","Lantana nivea"
"701","Bignoniaceae","Lundia corymbifera","65",54.2,NA,"Pink","2","","Lundia cordata"
"702","Marantaceae","Maranta furcata","65",NA,NA,"White","1","","Maranta furcata"
"704","Bignoniaceae","Tabebuia cassinoides","65",46.9,NA,"White","1","","Tabebuia cassinoides"
"705","Boraginaceae","Varronia multispicata","65",NA,NA,"White","1","","Cordia multispicata"
"707","Alstroemeriaceae","Alstroemeria isabelleana","67",19,17.2,"Pink","2","","Alstroemeria isabellana"
"711","Apocynaceae","Mandevilla funiformis","67",21,33.8,"Yellow","1","","Mandevilla funiformis"
"712","Marcgraviaceae","Marcgravia polyantha","67",NA,NA,"Brown","1","","Marcgravia polyantha"
"713","Asteraceae","Piptocarpha notata","67",6.5,NA,"White","1","","Piptocarpha notata"
"714","Bromeliaceae","Vriesea jonghei","67",55,21.5,"Purple","1","","Vriesea jonghei"
"715","Bromeliaceae","Wittrockia gigantea","67",41,28.5,"Yellow/Red","2","","Canistrum giganteum"
"716","Bromeliaceae","Aechmea ornata","68",15,27.4,"Pink","2","","Aechmea ornata"
"718","Bromeliaceae","Canistropsis billbergioides","68",21.7,20.05,"Yellow","1","","Nidularium billbergioides"
"719","Verbenaceae","Citharexylum myrianthum","68",20.1,13.29,"White","1","","Citharexylum myrianthum"
"720","Solanaceae","Dyssochroma viridiflorum","68",58.9,NA,"Green","1","","Dyssochroma viridiflora"
"721","Orchidaceae","Elleanthus brasiliensis","68",9.9,20.6,"White/Purple","1","","Elleanthus brasiliensis"
"722","Marantaceae","Goeppertia communis","68",21.7,NA,"White/Lilac","1","","Calathea communis"
"724","Rubiaceae","Hillia illustris","68",54.7,12.27,"Yellow","1","","Hillia illustris"
"725","Gesneriaceae","Nematanthus striatus","68",22.6,23.65,"Yellow/Purple","1","","Nematanthus striatus"
"726","Bromeliaceae","Nidularium krisgreeniae","68",33.3,24.1,"Red","3","","Nidularium krisgreeniae"
