"","family","species","network","corolla","nectar","color","colorCode","introduced","speciesOld"
"64","Acanthaceae","Pachystachys coccinea","20, 70",30.89,NA,"Red, Red","3, 3","","Pachystachys coccinea"
"65","Acanthaceae","Dicliptera squarrosa","28, 52, 74",22.23,19.17,"Red, Red, Orange","3, 3, 3","","Dicliptera squarrosa"
"66","Fabaceae","Inga vera","52, 54, 56",15.73,23.27,"White, White, White","1, 1, 1","","Inga vera"
"67","Ranunculaceae","Delphinium barbeyi","1",13.96,NA,NA,NA,"","Delphinium barbeyi"
"68","Ranunculaceae","Aquilegia formosa","2",19.6,NA,"Red/Yellow","2","","Aquilegia formosa"
"69","Plantaginaceae","Penstemon labrosus","2",NA,NA,"Red","3","","Penstemon labrosus"
"70","Malvaceae","Guazuma ulmifolia","3",2.09,NA,"Yellow","1","","Guazuma ulmifolia"
"71","Fabaceae","Lysiloma latisiliquum","3",1.29,35.19,"White","1","","Lysiloma latisiliquum"
"72","Apocynaceae","Tabernaemontana alba","3",10.41,24.37,"White","1","","Tabernaemontana alba"
"73","Lamiaceae","Volkameria aculeata","3",18.86,21.06,"White","1","","Volkameria aculeata"
"74","Asteraceae","Cirsium ehrenbergii","4",24.97,NA,NA,NA,"","Cirsium ehrenbergii"
"90","Lythraceae","Cuphea aequipetala","7",13.24,32,"Violet","1","","Cuphea aequipetala"
"91","Lythraceae","Cuphea procumbens","7",14.35,33.8,"Violet/Pink","1","","Cuphea procumbens"
"92","Orobanchaceae","Lamourouxia dasyantha","7",20.98,25.89,"Pink","2","","Lamourouxia dasyantha"
"96","Lamiaceae","Salvia chamaedryoides","7",7.98,24.8,"Blue","1","","Salvia chamaedryoides"
"97","Lamiaceae","Salvia prunelloides","7",8.29,30.45,"Blue","1","","Salvia prunelloides"
"100","Lamiaceae","Salvia xalapensis","7",4.1,NA,"Blue","1","","Salvia polystachya"
"101","Lamiaceae","Scutellaria caerulea","7",14.19,20.8,"Blue","1","","Scutellaria caerulea"
"102","Lamiaceae","Stachys coccinea","7",21.9,21.13,"Pink","2","","Stachys coccinea"
"103","Malvaceae","Ceiba aesculifolia","8",29.9,NA,"White","1","","Ceiba aesculifolia"
"104","Combretaceae","Combretum farinosum","8",10.6,12.7,"Orange","3","","Combretum farinosum"
"105","Boraginaceae","Cordia seleriana","8",12.4,NA,"White","1","","Cordia seleriana"
"106","Fabaceae","Erythrina lanata","8",73.9,29.1,"Purple","1","","Erythrina lanata"
"107","Rubiaceae","Hamelia rostrata","8",16.9,19.1,"Red","3","","Hamelia rostrata"
"108","Convolvulaceae","Ipomoea bracteata","8",35.5,28.9,"Purple","1","","Ipomoea bracteata"
"111","Cactaceae","Opuntia excelsa","8",49.8,24.3,"Yellow","1","","Opuntia excelsa"
"112","Cactaceae","Opuntia karwinskiana","8",69.4,27.3,"Pink","2","","Opuntia karwinskiana"
"113","Bromeliaceae","Tillandsia bartramii","8",NA,NA,"Purple","1","","Tillandsia bartramii"
"114","Bromeliaceae","Tillandsia paucifolia","8",39,26.7,"Purple","1","","Tillandsia paucifolia"
"115","Campanulaceae","Lobelia cardinalis","9",53.3,24.6,"Scarlet-red","3","","Lobelia cardinalis"
"116","Loranthaceae","Psittacanthus schiedeanus","9",20.6,20.4,"Orange/Red","3","","Psittacanthus schiedeanus"
"117","Bromeliaceae","Tillandsia multicaulis","9",39.3,22.7,"Violet flowers/red bracts.","2","","Tillandsia multicaulis"
"118","Asteraceae","Cirsium nivale","12",19.6,27.3,"Purple","1","","Cirsium nivale"
"119","Crassulaceae","Echeveria gibbiflora","12",21.8,25.8,"Red","3","","Echeveria gibbiflora"
"120","Lamiaceae","Prunella vulgaris","12",6.4,25.7,"Blue/Violet","1","","Prunella vulgaris"
"121","Lamiaceae","Salvia mocinoi","12",16.6,19.3,"Blue/Violet","1","","Salvia mocinoi"
"122","Bromeliaceae","Aechmea paniculigera","13",19.2,NA,"Purple-pink flowers, big red bracks","2","","Aechmea paniculigera"
"125","Araliaceae","Dendropanax arboreus","13",9.3,NA,"White","1","","Dendropanax arboreus"
"128","Solanaceae","Cestrum macrophyllum","14",10.82,13.6,"Yellow","1","","Cestrum macrophyllum"
"129","Bromeliaceae","Guzmania berteroniana","14",48.72,20.7,"Yellow flowers with red bracts","2","","Guzmania berteroniana"
"130","Melastomataceae","Miconia sintenisii","14",0,18.06,"White/Green ","1","","Acinodendron sintenisii"
"131","Rubiaceae","Palicourea berteroana","14",4.28,19.2,"White","1","","Psychotria berteroana"
"132","Zingiberaceae","Renealmia alpinia","14",18.76,27.8,"White/Pink","1","","Renealmia alpinia"
"133","Fabaceae","Rhodopis volubilis","14",44.08,24.5,"Red","3","","Neorudolphia volubilis"
"134","Schlegeliaceae","Schlegelia brachyantha","14",12.27,19,"White/Pink","1","","Schlegelia brachyantha"
"135","Malvaceae","Urena lobata","14",2.94,25.1,"Pink","2","","Urena lobata"
"136","Cactaceae","Consolea rubescens","15",14.57,33,"Orange/Red","3","","Consolea rubescens"
"137","Gesneriaceae","Besleria petiolaris","16",11.08,15,"Yellow","1","","Collandra petiolaris"
"138","Clusiaceae","Clusia mangle","16",0,31,"Cream white","1","","Clusia mangle"
"139","Campanulaceae","Lobelia stricta","16",12.94,12.2,"White","1","","Lobelia stricta"
"140","Rubiaceae","Manettia dominicensis","16",9.62,28.8,"White/Cream","1","","Manettia dominicensis"
"141","Verbenaceae","Citharexylum spinosum","17",4.01,44.7,"White","1","","Citharexylum spinosum"
"142","Rubiaceae","Erithalis fruticosa","17",3.28,41.5,"White","1","","Erithalis fruticosa"
"143","Fabaceae","Lonchocarpus benthamianus","17",5.96,43,"Purple/Yellow","1","","Lonchocarpus benthamianus"
"144","Rubiaceae","Palicourea violacea","18",5.52,31.8,"White/Yellow","1","","Psychotria capitata"
"146","Bromeliaceae","Aechmea aquilega","20",28,NA,NA,NA,"","Aechmea aquilega"
"147","Bromeliaceae","Aechmea dichlamydea","20",20,NA,NA,NA,"","Aechmea dichlamydea"
"149","Lamiaceae","Aegiphila perplexa","20",NA,NA,"White","1","","Aegiphila perplexa"
"151","Fabaceae","Calliandra guildingii","20",8,NA,"Pink","2","","Calliandra guildingii"
"152","Fabaceae","Clathrotropis brachypetala","20",NA,NA,"White","1","","Clathrotropis brachypetala"
"153","Boraginaceae","Cordia bicolor","20",5,NA,"White","1","","Cordia bicolor"
"155","Bignoniaceae","Cuspidaria inaequalis","20",NA,NA,"Mauve","1","","Cuspidaria inaequalis"
"156","Bignoniaceae","Dolichandra unguis-cati","20",39,NA,"Yellow","1","","Dolichandra unguis-cati"
"157","Gentianaceae","Helia alata","20",29,NA,"Yellow","1","","Chelonanthus alatus"
"160","Marantaceae","Ischnosiphon arouma","20",27,NA,"White","1","","Ischnosiphon arouma"
"161","Rubiaceae","Isertia parviflora","20",14,NA,"Purple","1","","Isertia parviflora"
"165","Marcgraviaceae","Norantea guianensis","20",23,NA,"Red","3","","Norantea guianensis"
"166","Rubiaceae","Palicourea muscosa","20",25,NA,"Red","3","","Psychotria muscosa"
"167","Rubiaceae","Psychotria pedunculosa","20",NA,NA,"Yellow","1","","Psychotria mapourioides"
"170","Salicaceae","Ryania speciosa","20",NA,NA,"Green","1","","Ryania speciosa"
"171","Bignoniaceae","Tabebuia stenocalyx","20",NA,NA,"Pink","2","","Tabebuia stenocalyx"
"172","Apocynaceae","Tabernaemontana cymosa","20",3,NA,"White","1","","Tabernaemontana cymosa"
"173","Bromeliaceae","Tillandsia fasciculata","20",25,NA,NA,NA,"","Tillandsia fasciculata"
"175","Boraginaceae","Varronia curassavica","20",5,NA,"White","1","","Cordia curassavica"
"176","Lamiaceae","Vitex divaricata","20",9,NA,"Mauve","1","","Vitex divaricata"
"177","Bromeliaceae","Aechmea mariae-reginae","21",30.5,NA,"Pink/Blue","2","","Aechmea mariae-reginae"
"178","Acanthaceae","Aphelandra storkii","21",75,NA,"Orange","3","","Aphelandra storkii"
"179","Gesneriaceae","Besleria columneoides","21",21.85,23.5,"Orange","3","","Besleria columneoides"
"180","Marantaceae","Goeppertia gymnocarpa","21",54,NA,"White","1","","Calathea gymnocarpa"
"181","Marantaceae","Goeppertia inocephala","21",40,17.5,"White/Brown","1","","Calathea inocephala"
"182","Heliconiaceae","Heliconia imbricata","21",30.2,20.26,"Red/Green","2","","Heliconia imbricata"
"183","Heliconiaceae","Heliconia mariae","21",33,19.73,"Red","3","","Heliconia mariae"
"184","Heliconiaceae","Heliconia mathiasiae","21",48,NA,"Red/Yellow","2","","Heliconia mathiasiae"
"185","Heliconiaceae","Heliconia pogonantha","21",42.2,NA,"Red/Yellow","2","","Heliconia pogonantha"
"186","Heliconiaceae","Heliconia wagneriana","21",62,NA,"Red/Green","2","","Heliconia wagneriana"
"187","Rubiaceae","Pentagonia donnell-smithii","21",47.05,NA,"White","1","","Pentagonia monocaulis"
"188","Schlegeliaceae","Schlegelia fastigiata","21",32.6,NA,"Pink/White","1","","Schlegelia fastigiata"
"189","Gesneriaceae","Besleria notabilis","22",20.8,NA,"Orange","3","","Besleria notabilis"
"190","Marantaceae","Calathea lasiostachya","22",45.9,NA,"White","1","","Calathea lasiostachya"
"191","Ericaceae","Cavendishia callista","22",34.5,19,"Pink/White","1","","Cavendishia callista"
"192","Ericaceae","Cavendishia complectens","22",14.2,NA,"Red/Pink","2","","Cavendishia complectens"
"193","Ericaceae","Cavendishia quereme","22",30,NA,"Pink/Orange","2","","Cavendishia quereme"
"194","Campanulaceae","Centropogon granulosus","22",51,NA,"Red","3","","Centropogon granulosus"
"195","Gesneriaceae","Columnea purpurata","22",39,NA,"Red/Yellow","2","","Columnea purpurata"
"196","Gesneriaceae","Columnea querceti","22",63.9,NA,"Red","3","","Columnea querceti"
"197","Costaceae","Costus curvibracteatus","22",54.5,19,"Orange/Yellow","2","","Costus curvibracteatus"
"198","Gesneriaceae","Drymonia conchocalyx","22",35,NA,"Red/Pink","2","","Drymonia conchocalyx"
