;Orthorhyncus cristatus;Eulampis holosericeus
Ernodea littoralis;24;26
Melocactus intortus;4;11
Melochia tomentosa;12;2
Pentalinon luteum;0;12
Pictetia Aculeata;58;210
Randia aculeata;65;0
Tabebuia heterophylla;0;537
Tamarindus Indica;1494;240
Vachellia anegadensis;71;275
Pilosocereus polygonus;4;7
