"","species","genus","family","species.relative","genus.relative","status"
"145","Cavendishia_quereme","Cavendishia","Ericaceae","","","prune"
"146","Centropogon_granulosus","Centropogon","Campanulaceae","","","bind"
"147","Columnea_purpurata","Columnea","Gesneriaceae","","","prune"
"148","Columnea_querceti","Columnea","Gesneriaceae","","","bind"
"149","Costus_curvibracteatus","Costus","Costaceae","","","prune"
"150","Drymonia_conchocalyx","Drymonia","Gesneriaceae","","","bind"
"151","Faramea_eurycarpa","Faramea","Rubiaceae","","","bind"
"152","Gurania_bignoniacea","Gurania","Cucurbitaceae","","","prune"
"153","Guzmania_nicaraguensis","Guzmania","Bromeliaceae","","","prune"
"154","Heliconia_atropurpurea","Heliconia","Heliconiaceae","","","bind"
"155","Heliconia_vaginalis","Heliconia","Heliconiaceae","","","prune"
"156","Hillia_triflora","Hillia","Rubiaceae","","","prune"
"157","Palicourea_gomezii","Palicourea","Rubiaceae","","","bind"
"158","Pitcairnia_brittoniana","Pitcairnia","Bromeliaceae","","","bind"
"159","Psammisia_ramiflora","Psammisia","Ericaceae","","","prune"
"160","Satyria_meiantha","Satyria","Ericaceae","","","prune"
"161","Thibaudia_costaricensis","Thibaudia","Ericaceae","","","prune"
"162","Bomarea_hirsuta","Bomarea","Alstroemeriaceae","","","prune"
"163","Burmeistera_parviflora","Burmeistera","Campanulaceae","","","bind"
"164","Columnea_magnifica","Columnea","Gesneriaceae","","","bind"
"165","Columnea_microcalyx","Columnea","Gesneriaceae","","","bind"
"166","Disterigma_humboldtii","Disterigma","Ericaceae","","","prune"
"167","Gaultheria_gracilis","Gaultheria","Ericaceae","","","prune"
"168","Gonocalyx_pterocarpus","Gonocalyx","Ericaceae","","","bind"
"169","Heliconia_lankesteri","Heliconia","Heliconiaceae","","","bind"
"170","Hoffmannia_arborescens","Hoffmannia","Rubiaceae","","","bind"
"171","Kohleria_tigridia","Kohleria","Gesneriaceae","","","prune"
"172","Malvaviscus_palmanus","Malvaviscus","Malvaceae","","","bind"
"173","Neomirandea_eximia","Neomirandea","Asteraceae","","","bind"
"174","Vaccinium_poasanum","Vaccinium","Ericaceae","","","prune"
"175","Tropaeolum_moritzianum","Tropaeolum","Tropaeolaceae","","","bind"
"176","Bomarea_costaricensis","Bomarea","Alstroemeriaceae","","","bind"
"177","Calliandra_purdiei","Calliandra","Fabaceae","","","bind"
"178","Mandevilla_mollissima","Mandevilla","Apocynaceae","","","bind"
"179","Psammisia_penduliflora","Psammisia","Ericaceae","","","bind"
"180","Burmeistera_pennellii","Burmeistera","Campanulaceae","","","bind"
"181","Cavendishia_guatapeensis","Cavendishia","Ericaceae","","","bind"
"182","Chalybea_minor","Chalybea","Melastomataceae","","","bind"
"183","Elleanthus_smithii","Elleanthus","Orchidaceae","","","bind"
"184","Palicourea_vagans","Palicourea","Rubiaceae","","","bind"
"185","Psammisia_falcata","Psammisia","Ericaceae","","","bind"
"186","Thibaudia_rigidiflora","Thibaudia","Ericaceae","","","bind"
"187","Tillandsia_turneri","Tillandsia","Bromeliaceae","","","bind"
"188","Handroanthus_chrysanthus","Handroanthus","Bignoniaceae","","","prune"
"189","Castilleja_fissifolia","Castilleja","Orobanchaceae","","","bind"
"190","Cuphea_dipetala","Cuphea","Lythraceae","","","bind"
"191","Manettia_coccocypseloides","Manettia","Rubiaceae","","","bind"
"192","Palicourea_anacardiifolia","Palicourea","Rubiaceae","","","bind"
"193","Palicourea_aschersonianoides","Palicourea","Rubiaceae","","","bind"
"194","Siphocampylus_bogotensis","Siphocampylus","Campanulaceae","","","bind"
"195","Symbolanthus_anomalus","Symbolanthus","Gentianaceae","","","bind"
"196","Centropogon_latisepalus","Centropogon","Campanulaceae","","","bind"
"197","Erythrina_rubrinervia","Erythrina","Fabaceae","","","bind"
"198","Trichanthera_gigantea","Trichanthera","Acanthaceae","","","bind"
"199","Burmeistera_ceratocarpa","Burmeistera","Campanulaceae","","","bind"
"200","Burmeistera_killipii","Burmeistera","Campanulaceae","","","bind"
"201","Disterigma_alaternoides","Disterigma","Ericaceae","","","prune"
"202","Disterigma_cryptocalyx","Disterigma","Ericaceae","","","prune"
"203","Gaultheria_foliolosa","Gaultheria","Ericaceae","","","prune"
"204","Guzmania_andreana","Guzmania","Bromeliaceae","","","bind"
"205","Guzmania_gracilior","Guzmania","Bromeliaceae","","","bind"
"206","Miconia_micayana","Miconia","Melastomataceae","","","bind"
"207","Miconia_stipularis","Miconia","Melastomataceae","","","bind"
"208","Pitcairnia_exserta","Pitcairnia","Bromeliaceae","","","bind"
"209","Psammisia_columbiensis","Psammisia","Ericaceae","","","bind"
"210","Anthopterus_oliganthus","Anthopterus","Ericaceae","","","bind"
"211","Clusia_coremandra","Clusia","Clusiaceae","","","bind"
"212","Disterigma_noyesiae","Disterigma","Ericaceae","","","prune"
"213","Palicourea_killipii","Palicourea","Rubiaceae","","","bind"
"214","Psammisia_dolichopoda","Psammisia","Ericaceae","","","prune"
"215","Themistoclesia_dependens","Themistoclesia","Ericaceae","","","bind"
"216","Barnadesia_spinosa","Barnadesia","Asteraceae","","","prune"
"217","Bomarea_linifolia","Bomarea","Alstroemeriaceae","","","prune"
"218","Brachyotum_ledifolium","Brachyotum","Melastomataceae","","","prune"
"219","Brachyotum_lindenii","Brachyotum","Melastomataceae","","","prune"
"220","Disterigma_codonanthum","Disterigma","Ericaceae","","","prune"
"221","Fuchsia_corollata","Fuchsia","Onagraceae","","","bind"
"222","Gaultheria_myrsinoides","Gaultheria","Ericaceae","","","prune"
"223","Guzmania_bakeri","Guzmania","Bromeliaceae","","","bind"
"224","Guzmania_candelabrum","Guzmania","Bromeliaceae","","","bind"
"225","Puya_clava-herculis","Puya","Bromeliaceae","","","bind"
"226","Racinaea_tetrantha","Racinaea","Bromeliaceae","","","bind"
"227","Siphocampylus_giganteus","Siphocampylus","Campanulaceae","","","bind"
"228","Siphocampylus_paramicola","Siphocampylus","Campanulaceae","","","bind"
"229","Tillandsia_orbicularis","Tillandsia","Bromeliaceae","","","bind"
"230","Aechmea_chantinii","Aechmea","Bromeliaceae","","","prune"
"231","Aechmea_corymbosa","Aechmea","Bromeliaceae","","","bind"
"232","Aechmea_rubiginosa","Aechmea","Bromeliaceae","","","bind"
"233","Aphelandra_macrostachya","Aphelandra","Acanthaceae","","","bind"
"234","Billbergia_decora","Billbergia","Bromeliaceae","","","prune"
"235","Columnea_ericae","Columnea","Gesneriaceae","","","bind"
"236","Decagonocarpus_cornutus","Decagonocarpus","Rutaceae","","","bind"
"237","Ferdinandusa_sprucei","Ferdinandusa","Rubiaceae","","","bind"
"238","Goeppertia_zingiberina","Goeppertia","Marantaceae","","","bind"
"239","Goudaea_chrysostachys","Goudaea","Bromeliaceae","","","bind"
"240","Gurania_rufipila","Gurania","Cucurbitaceae","","","bind"
"241","Heliconia_acuminata","Heliconia","Heliconiaceae","","","prune"
"242","Ischnosiphon_lasiocoleus","Ischnosiphon","Marantaceae","","","bind"
"243","Isertia_hypoleuca","Isertia","Rubiaceae","","","prune"
"244","Isertia_rosea","Isertia","Rubiaceae","","","bind"
"245","Justicia_cuatrecasasii","Justicia","Acanthaceae","","","bind"
"246","Markea_coccinea","Markea","Solanaceae","","","prune"
"247","Monotagma_secundum","Monotagma","Marantaceae","","","prune"
"248","Nematanthus_savannarum","Nematanthus","Gesneriaceae","","","bind"
"249","Palicourea_dichotoma","Palicourea","Rubiaceae","","","bind"
"250","Palicourea_nigricans","Palicourea","Rubiaceae","","","bind"
"251","Palicourea_quadrifolia","Palicourea","Rubiaceae","","","bind"
"252","Palicourea_subspicata","Palicourea","Rubiaceae","","","bind"
"253","Passiflora_skiantha","Passiflora","Passifloraceae","","","bind"
"254","Passiflora_vitifolia","Passiflora","Passifloraceae","","","prune"
"255","Paypayrola_hulkiana","Paypayrola","Violaceae","","","bind"
"256","Pitcairnia_sprucei","Pitcairnia","Bromeliaceae","","","prune"
"257","Retiniphyllum_speciosum","Retiniphyllum","Rubiaceae","","","bind"
"258","Ryania_pyrifera","Ryania","Salicaceae","","","bind"
"259","Satyria_panurensis","Satyria","Ericaceae","","","prune"
"260","Tabernaemontana_macrocalyx","Tabernaemontana","Apocynaceae","","","prune"
"261","Tachia_occidentalis","Tachia","Gentianaceae","","","bind"
"262","Zygia_lathetica","Zygia","Fabaceae","","","prune"
"263","Glossoloma_bolivianum","Glossoloma","Gesneriaceae","","","prune"
"264","Macleania_recumbens","Macleania","Ericaceae","","","bind"
"265","Palicourea_anderssoniana","Palicourea","Rubiaceae","","","bind"
"266","Palicourea_sodiroi","Palicourea","Rubiaceae","","","bind"
"267","Psammisia_oreogenes","Psammisia","Ericaceae","","","prune"
"268","Verbesina_latisquama","Verbesina","Asteraceae","","","bind"
"269","Columnea_peruviana","Columnea","Gesneriaceae","","","bind"
"270","Miconia_denticulata","Miconia","Melastomataceae","","","prune"
"271","Chuquiraga_jussieui","Chuquiraga","Asteraceae","","","prune"
"272","Gaultheria_tomentosa","Gaultheria","Ericaceae","","","prune"
"273","Aechmea_williamsii","Aechmea","Bromeliaceae","","","bind"
"274","Combretum_llewelynii","Combretum","Combretaceae","","","bind"
"275","Genipa_americana","Genipa","Rubiaceae","","","prune"
"276","Goeppertia_capitata","Goeppertia","Marantaceae","","","bind"
"277","Gurania_rhizantha","Gurania","Cucurbitaceae","","","bind"
"278","Heliconia_juruana","Heliconia","Heliconiaceae","","","bind"
"279","Heliconia_schumanniana","Heliconia","Heliconiaceae","","","bind"
"280","Inga_laevigata","Inga","Fabaceae","","","bind"
"281","Matisia_lasiocalyx","Matisia","Malvaceae","","","bind"
"282","Palicourea_fastigiata","Palicourea","Rubiaceae","","","bind"
"283","Palicourea_lasiantha","Palicourea","Rubiaceae","","","bind"
"284","Passiflora_involucrata","Passiflora","Passifloraceae","","","bind"
"285","Passiflora_quadriglandulosa","Passiflora","Passifloraceae","","","prune"
"286","Passiflora_spinosa","Passiflora","Passifloraceae","","","bind"
"287","Psittacanthus_cucullaris","Psittacanthus","Loranthaceae","","","bind"
"288","Sanchezia_munita","Sanchezia","Acanthaceae","","","bind"
"289","Sanchezia_putumayensis","Sanchezia","Acanthaceae","","","bind"
"290","Tachigali_paniculata","Tachigali","Fabaceae","","","prune"
"291","Allamanda_blanchetii","Allamanda","Apocynaceae","","","bind"
"292","Anadenanthera_colubrina","Anadenanthera","Fabaceae","","","prune"
"293","Bauhinia_cheilantha","Bauhinia","Fabaceae","","","bind"
"294","Ceiba_glaziovii","Ceiba","Malvaceae","","","bind"
"295","Cenostigma_pyramidale","Cenostigma","Fabaceae","","","bind"
"296","Chresta_pacourinoides","Chresta","Asteraceae","","","prune"
"297","Cissus_verticillata","Cissus","Vitaceae","","","prune"
"298","Clematicissus_pruinata","Clematicissus","Vitaceae","","","bind"
"299","Cnidoscolus_halteris","Cnidoscolus","Euphorbiaceae","","","bind"
"300","Cnidoscolus_pubescens","Cnidoscolus","Euphorbiaceae","","","bind"
"301","Conocliniopsis_grossedentata","Conocliniopsis","Asteraceae","","","bind"
"302","Croton_blanchetianus","Croton","Euphorbiaceae","","","bind"
"303","Encholirium_spectabile","Encholirium","Bromeliaceae","","","bind"
"304","Hohenbergia_catingae","Hohenbergia","Bromeliaceae","","","prune"
"305","Jatropha_mollissima","Jatropha","Euphorbiaceae","","","bind"
"306","Macropsychanthus_grandiflorus","Macropsychanthus","Fabaceae","","","bind"
"307","Melocactus_zehntneri","Melocactus","Cactaceae","","","prune"
"308","Mesosphaerum_pectinatum","Mesosphaerum","Lamiaceae","","","bind"
"309","Oxalis_psoraleoides","Oxalis","Oxalidaceae","","","bind"
"310","Plumbago_zeylanica","Plumbago","Plumbaginaceae","","","prune"
"311","Ruellia_asperula","Ruellia","Acanthaceae","","","prune"
"312","Staelia_galioides","Staelia","Rubiaceae","","","prune"
"313","Tacinga_palmadora","Tacinga","Cactaceae","","","prune"
"314","Waltheria_rotundifolia","Waltheria","Malvaceae","","","bind"
"315","Xiquexique_gounellei","Xiquexique","Cactaceae","","","bind"
"316","Apodanthera_villosa","Apodanthera","Cucurbitaceae","","","bind"
"317","Encholirium_brachypodum","Encholirium","Bromeliaceae","","","bind"
"318","Eplingiella_cuniloides","Eplingiella","Lamiaceae","","","bind"
"319","Eriope_latifolia","Eriope","Lamiaceae","","","prune"
"320","Handroanthus_selachidentatus","Handroanthus","Bignoniaceae","","","bind"
"321","Jatropha_mutabilis","Jatropha","Euphorbiaceae","","","bind"
"322","Lessingianthus_linearis","Lessingianthus","Asteraceae","","","prune"
"323","Ligaria_teretiflora","Ligaria","Loranthaceae","","","bind"
"324","Melocactus_ernestii","Melocactus","Cactaceae","","","bind"
"325","Melocactus_pruinosus","Melocactus","Cactaceae","","","bind"
"326","Micranthocereus_flaviflorus","Micranthocereus","Cactaceae","","","bind"
"327","Mysanthus_uleanus","Mysanthus","Fabaceae","","","bind"
"328","Neoglaziovia_variegata","Neoglaziovia","Bromeliaceae","","","prune"
"329","Nephradenia_asparagoides","Nephradenia","Apocynaceae","","","prune"
"330","Passiflora_luetzelburgii","Passiflora","Passifloraceae","","","bind"
"331","Pilosocereus_pachycladus","Pilosocereus","Cactaceae","","","prune"
"332","Serjania_caracasana","Serjania","Sapindaceae","","","bind"
"333","Tacinga_werneri","Tacinga","Cactaceae","","","bind"
"334","Tripodanthus_acutifolius","Tripodanthus","Loranthaceae","","","bind"
"335","Ananas_comosus","Ananas","Bromeliaceae","","","prune"
"336","Heliconia_metallica","Heliconia","Heliconiaceae","","","bind"
"337","Aniseia_martinicensis","Aniseia","Convolvulaceae","","","prune"
"338","Barbacenia_blanchetii","Barbacenia","Velloziaceae","","","bind"
"339","Blepharodon_pictum","Blepharodon","Apocynaceae","","","prune"
"340","Calliandra_hygrophila","Calliandra","Fabaceae","","","prune"
"341","Calliandra_mucugeana","Calliandra","Fabaceae","","","bind"
"342","Calliandra_viscidula","Calliandra","Fabaceae","","","prune"
"343","Cattleya_elongata","Cattleya","Orchidaceae","","","prune"
"344","Clusia_melchiorii","Clusia","Clusiaceae","","","prune"
"345","Ditassa_retusa","Ditassa","Apocynaceae","","","prune"
"346","Humiria_balsamifera","Humiria","Humiriaceae","","","prune"
"347","Jacaranda_irwinii","Jacaranda","Bignoniaceae","","","bind"
"348","Lepidaploa_cotoneaster","Lepidaploa","Asteraceae","","","bind"
"349","Manihot_jacobinensis","Manihot","Euphorbiaceae","","","bind"
"350","Manihot_reniformis","Manihot","Euphorbiaceae","","","bind"
"351","Micranthocereus_purpureus","Micranthocereus","Cactaceae","","","bind"
"352","Pavonia_luetzelburgii","Pavonia","Malvaceae","","","bind"
"353","Pseudostifftia_kingii","Pseudostifftia","Asteraceae","","","prune"
"354","Sincoraea_albopicta","Sincoraea","Bromeliaceae","","","bind"
"355","Siphocampylus_imbricatus","Siphocampylus","Campanulaceae","","","bind"
"356","Spigelia_pulchella","Spigelia","Loganiaceae","","","bind"
"357","Stachytarpheta_crassifolia","Stachytarpheta","Verbenaceae","","","bind"
"358","Stipecoma_peltigera","Stipecoma","Apocynaceae","","","prune"
"359","Vochysia_pyramidalis","Vochysia","Vochysiaceae","","","bind"
"360","Waltheria_cinerescens","Waltheria","Malvaceae","","","bind"
"361","Alstroemeria_rupestris","Alstroemeria","Alstroemeriaceae","","","prune"
"362","Anisacanthus_brasiliensis","Anisacanthus","Acanthaceae","","","prune"
"363","Augusta_longifolia","Augusta","Rubiaceae","","","prune"
"364","Bauhinia_longifolia","Bauhinia","Fabaceae","","","bind"
"365","Cordia_superba","Cordia","Boraginaceae","","","prune"
"366","Cuspidaria_simplicifolia","Cuspidaria","Bignoniaceae","","","bind"
"367","Dasyphyllum_candolleanum","Dasyphyllum","Asteraceae","","","prune"
"368","Helicteres_eichleri","Helicteres","Malvaceae","","","bind"
"369","Hyptis_leptostachys","Hyptis","Lamiaceae","","","prune"
"370","Lafoensia_glyptocarpa","Lafoensia","Lythraceae","","","bind"
"371","Mandevilla_scabra","Mandevilla","Apocynaceae","","","prune"
"372","Nissolia_subulata","Nissolia","Fabaceae","","","bind"
"373","Orthophytum_lemei","Orthophytum","Bromeliaceae","","","bind"
"374","Passiflora_edmundoi","Passiflora","Passifloraceae","","","prune"
"375","Periandra_coccinea","Periandra","Fabaceae","","","prune"
"376","Serjania_coradinii","Serjania","Sapindaceae","","","bind"
"377","Stachytarpheta_quadrangula","Stachytarpheta","Verbenaceae","","","bind"
"378","Calliandra_sessilis","Calliandra","Fabaceae","","","bind"
"379","Calliandra_sincorana","Calliandra","Fabaceae","","","bind"
"380","Dyckia_dissitiflora","Dyckia","Bromeliaceae","","","prune"
"381","Lychnophora_rosmarinifolia","Lychnophora","Asteraceae","","","bind"
"382","Lychnophora_salicifolia","Lychnophora","Asteraceae","","","prune"
"383","Sida_cordifolia","Sida","Malvaceae","","","prune"
"384","Baccharis_salicifolia","Baccharis","Asteraceae","","","bind"
"385","Barnadesia_horrida","Barnadesia","Asteraceae","","","bind"
"386","Brachyotum_nutans","Brachyotum","Melastomataceae","","","bind"
"387","Gynoxys_longifolia","Gynoxys","Asteraceae","","","bind"
"388","Myrcianthes_oreophila","Myrcianthes","Myrtaceae","","","bind"
"389","Puya_ferruginea","Puya","Bromeliaceae","","","prune"
"390","Aechmea_miniata","Aechmea","Bromeliaceae","","","prune"
"391","Aphelandra_nitida","Aphelandra","Acanthaceae","","","bind"
"392","Goeppertia_crocata","Goeppertia","Marantaceae","","","bind"
"393","Gurania_acuminata","Gurania","Cucurbitaceae","","","prune"
"394","Heliconia_richardiana","Heliconia","Heliconiaceae","","","prune"
"395","Hohenbergia_capitata","Hohenbergia","Bromeliaceae","","","bind"
"396","Lymania_brachycaulis","Lymania","Bromeliaceae","","","bind"
"397","Nematanthus_corticola","Nematanthus","Gesneriaceae","","","prune"
"398","Ruellia_affinis","Ruellia","Acanthaceae","","","bind"
"399","Wittmackia_viridostigma","Wittmackia","Bromeliaceae","","","bind"
"400","Besleria_rotundifolia","Besleria","Gesneriaceae","","","bind"
"401","Justicia_tenuistachys","Justicia","Acanthaceae","","","bind"
"402","Passiflora_coccinea","Passiflora","Passifloraceae","","","prune"
"403","Ruellia_inflata","Ruellia","Acanthaceae","","","bind"
"404","Erythrochiton_fallax","Erythrochiton","Rutaceae","","","bind"
"405","Heliconia_subulata","Heliconia","Heliconiaceae","","","bind"
"406","Suessenguthia_multisetosa","Suessenguthia","Acanthaceae","","","prune"
"407","Adenocalymma_campicola","Adenocalymma","Bignoniaceae","","","bind"
"408","Palicourea_coriacea","Palicourea","Rubiaceae","","","bind"
"409","Cestrum_schlechtendalii","Cestrum","Solanaceae","","","bind"
"410","Coussarea_hydrangeifolia","Coussarea","Rubiaceae","","","prune"
"411","Helicteres_sacarolha","Helicteres","Malvaceae","","","bind"
"412","Stachytarpheta_gesnerioides","Stachytarpheta","Verbenaceae","","","bind"
"413","Acritopappus_longifolius","Acritopappus","Asteraceae","","","bind"
"414","Aechmea_lamarchei","Aechmea","Bromeliaceae","","","prune"
"415","Barbacenia_gentianoides","Barbacenia","Velloziaceae","","","bind"
"416","Barbacenia_luzulifolia","Barbacenia","Velloziaceae","","","bind"
"417","Calolisianthus_pendulus","Calolisianthus","Gentianaceae","","","bind"
"418","Chronopappus_bifrons","Chronopappus","Asteraceae","","","prune"
"419","Eremanthus_crotonoides","Eremanthus","Asteraceae","","","prune"
"420","Erythroxylum_vaccinifolium","Erythroxylum","Erythroxylaceae","","","bind"
"421","Gaylussacia_montana","Gaylussacia","Ericaceae","","","bind"
"422","Gaylussacia_oleifolia","Gaylussacia","Ericaceae","","","bind"
"423","Gordonia_fruticosa","Gordonia","Theaceae","","","prune"
"424","Hippeastrum_cipoanum","Hippeastrum","Amaryllidaceae","","","bind"
"425","Hololepis_pedunculata","Hololepis","Asteraceae","","","prune"
"426","Lessingianthus_roseus","Lessingianthus","Asteraceae","","","bind"
"427","Myrcia_lasiantha","Myrcia","Myrtaceae","","","bind"
"428","Nematanthus_strigillosus","Nematanthus","Gesneriaceae","","","prune"
"429","Palicourea_sessilis","Palicourea","Rubiaceae","","","bind"
"430","Pilosocereus_aurisetus","Pilosocereus","Cactaceae","","","bind"
"431","Piptolepis_leptospermoides","Piptolepis","Asteraceae","","","bind"
"432","Siphocampylus_fimbriatus","Siphocampylus","Campanulaceae","","","bind"
"433","Stachytarpheta_mexiae","Stachytarpheta","Verbenaceae","","","bind"
"434","Trixis_vauthieri","Trixis","Asteraceae","","","bind"
"435","Vellozia_epidendroides","Vellozia","Velloziaceae","","","prune"
"436","Vernonanthura_phosphorica","Vernonanthura","Asteraceae","","","bind"
"437","Vochysia_emarginata","Vochysia","Vochysiaceae","","","bind"
"438","Vriesea_medusa","Vriesea","Bromeliaceae","","","bind"
"439","Centrosema_brasilianum","Centrosema","Fabaceae","","","bind"
"440","Cordia_glabrata","Cordia","Boraginaceae","","","prune"
"441","Helicteres_guazumifolia","Helicteres","Malvaceae","","","prune"
"442","Hippeastrum_puniceum","Hippeastrum","Amaryllidaceae","","","prune"
"443","Sabicea_aspera","Sabicea","Rubiaceae","","","prune"
"444","Barbacenia_williamsii","Barbacenia","Velloziaceae","","","bind"
"445","Centrosema_coriaceum","Centrosema","Fabaceae","","","bind"
"446","Pavonia_viscosa","Pavonia","Malvaceae","","","bind"
"447","Sinningia_rupicola","Sinningia","Gesneriaceae","","","prune"
"448","Distimake_macrocalyx","Distimake","Convolvulaceae","","","bind"
"449","Fridericia_florida","Fridericia","Bignoniaceae","","","bind"
"450","Fridericia_triplinervia","Fridericia","Bignoniaceae","","","bind"
"451","Handroanthus_heptaphyllus","Handroanthus","Bignoniaceae","","","bind"
"452","Jacaratia_spinosa","Jacaratia","Caricaceae","","","prune"
"453","Psiguria_ternata","Psiguria","Cucurbitaceae","","","prune"
"454","Serjania_altissima","Serjania","Sapindaceae","","","bind"
"455","Bromelia_karatas","Bromelia","Bromeliaceae","","","prune"
"456","Eriotheca_pubescens","Eriotheca","Malvaceae","","","prune"
"457","Luehea_paniculata","Luehea","Malvaceae","","","bind"
"458","Serjania_ovalifolia","Serjania","Sapindaceae","","","bind"
"459","Simarouba_versicolor","Simarouba","Simaroubaceae","","","prune"
"460","Verbena_hirta","Verbena","Verbenaceae","","","bind"
"461","Mandevilla_guanabarica","Mandevilla","Apocynaceae","","","bind"
"462","Melocactus_violaceus","Melocactus","Cactaceae","","","bind"
"463","Neoregelia_cruenta","Neoregelia","Bromeliaceae","","","prune"
"464","Quesnelia_quesneliana","Quesnelia","Bromeliaceae","","","prune"
"465","Vriesea_neoglutinosa","Vriesea","Bromeliaceae","","","bind"
"466","Callianthe_bedfordiana","Callianthe","Malvaceae","","","bind"
"467","Justicia_sebastianopolitanae","Justicia","Acanthaceae","","","bind"
"468","Manettia_mitis","Manettia","Rubiaceae","","","bind"
"469","Nematanthus_crassifolius","Nematanthus","Gesneriaceae","","","prune"
"470","Nematanthus_lanceolatus","Nematanthus","Gesneriaceae","","","prune"
"471","Nidularium_itatiaiae","Nidularium","Bromeliaceae","","","bind"
"472","Odontonema_barlerioides","Odontonema","Acanthaceae","","","bind"
"473","Palicourea_rudgeoides","Palicourea","Rubiaceae","","","bind"
"474","Pitcairnia_flammea","Pitcairnia","Bromeliaceae","","","prune"
"475","Psittacanthus_brasiliensis","Psittacanthus","Loranthaceae","","","bind"
"476","Quesnelia_augusto-coburgii","Quesnelia","Bromeliaceae","","","bind"
"477","Sinningia_gigantifolia","Sinningia","Gesneriaceae","","","prune"
"478","Staurogyne_itatiaiae","Staurogyne","Acanthaceae","","","bind"
"479","Stromanthe_thalia","Stromanthe","Marantaceae","","","prune"
"480","Vellosiella_dracocephaloides","Vellosiella","Orobanchaceae","","","bind"
"481","Vriesea_longicaulis","Vriesea","Bromeliaceae","","","prune"
"482","Callianthe_regnellii","Callianthe","Malvaceae","","","bind"
"483","Cestrum_corymbosum","Cestrum","Solanaceae","","","bind"
"484","Manettia_pubescens","Manettia","Rubiaceae","","","bind"
"485","Salvia_arenaria","Salvia","Lamiaceae","","","bind"
"486","Siphocampylus_westinianus","Siphocampylus","Campanulaceae","","","bind"
"487","Vriesea_sceptrum","Vriesea","Bromeliaceae","","","bind"
"488","Aechmea_gamosepala","Aechmea","Bromeliaceae","","","prune"
"489","Aphelandra_colorata","Aphelandra","Acanthaceae","","","bind"
"490","Edmundoa_perplexa","Edmundoa","Bromeliaceae","","","bind"
"491","Inga_sessilis","Inga","Fabaceae","","","bind"
"492","Macrocarpaea_rubra","Macrocarpaea","Gentianaceae","","","bind"
"493","Nematanthus_maculatus","Nematanthus","Gesneriaceae","","","prune"
"494","Nidularium_longiflorum","Nidularium","Bromeliaceae","","","bind"
"495","Nidularium_rutilans","Nidularium","Bromeliaceae","","","bind"
"496","Psychotria_leiocarpa","Psychotria","Rubiaceae","","","bind"
"497","Sinningia_glazioviana","Sinningia","Gesneriaceae","","","prune"
"498","Siphocampylus_convolvulaceus","Siphocampylus","Campanulaceae","","","bind"
"499","Siphocampylus_lauroanus","Siphocampylus","Campanulaceae","","","bind"
"500","Tillandsia_dura","Tillandsia","Bromeliaceae","","","bind"
"501","Vriesea_inflata","Vriesea","Bromeliaceae","","","bind"
"502","Vriesea_simplex","Vriesea","Bromeliaceae","","","bind"
"503","Wittrockia_superba","Wittrockia","Bromeliaceae","","","bind"
"504","Ruellia_elegans","Ruellia","Acanthaceae","","","prune"
"505","Nidularium_angustifolium","Nidularium","Bromeliaceae","","","bind"
"506","Sanchezia_oblonga","Sanchezia","Acanthaceae","","","bind"
"507","Couepia_schottii","Couepia","Chrysobalanaceae","","","bind"
"508","Hydrochorea_pedicellaris","Hydrochorea","Fabaceae","","","bind"
"509","Jacaranda_puberula","Jacaranda","Bignoniaceae","","","bind"
"510","Jacquemontia_sphaerostigma","Jacquemontia","Convolvulaceae","","","prune"
"511","Jupunba_brachystachya","Jupunba","Fabaceae","","","bind"
"512","Lantana_nivea","Lantana","Verbenaceae","","","bind"
"513","Lundia_corymbifera","Lundia","Bignoniaceae","","","prune"
"514","Maranta_furcata","Maranta","Marantaceae","","","bind"
"515","Tabebuia_cassinoides","Tabebuia","Bignoniaceae","","","bind"
"516","Varronia_multispicata","Varronia","Boraginaceae","","","bind"
"517","Alstroemeria_isabelleana","Alstroemeria","Alstroemeriaceae","","","bind"
"518","Mandevilla_funiformis","Mandevilla","Apocynaceae","","","prune"
"519","Marcgravia_polyantha","Marcgravia","Marcgraviaceae","","","bind"
"520","Piptocarpha_notata","Piptocarpha","Asteraceae","","","bind"
"521","Vriesea_jonghei","Vriesea","Bromeliaceae","","","prune"
"522","Wittrockia_gigantea","Wittrockia","Bromeliaceae","","","bind"
"523","Aechmea_ornata","Aechmea","Bromeliaceae","","","prune"
"524","Canistropsis_billbergioides","Canistropsis","Bromeliaceae","","","bind"
"525","Citharexylum_myrianthum","Citharexylum","Verbenaceae","","","bind"
"526","Dyssochroma_viridiflorum","Dyssochroma","Solanaceae","","","bind"
"527","Elleanthus_brasiliensis","Elleanthus","Orchidaceae","","","bind"
"528","Goeppertia_communis","Goeppertia","Marantaceae","","","bind"
"529","Hillia_illustris","Hillia","Rubiaceae","","","prune"
"530","Nematanthus_striatus","Nematanthus","Gesneriaceae","","","bind"
"531","Nidularium_krisgreeniae","Nidularium","Bromeliaceae","","","prune"
"532","Vriesea_platynema","Vriesea","Bromeliaceae","","","prune"
"533","Nidularium_antoineanum","Nidularium","Bromeliaceae","","","bind"
"534","Pachira_calophylla","Pachira","Malvaceae","","","bind"
"535","Pseudobombax_grandiflorum","Pseudobombax","Malvaceae","","","prune"
"536","Psychotria_carthagenensis","Psychotria","Rubiaceae","","","prune"
"537","Quesnelia_testudo","Quesnelia","Bromeliaceae","","","bind"
