"","species","genus","family","species.relative","genus.relative","status"
"891","Gaylussacia_brasiliensis","Gaylussacia","Ericaceae","","","prune"
"892","Esterhazya_splendida","Esterhazya","Orobanchaceae","","","bind"
"893","Sinningia_elatior","Sinningia","Gesneriaceae","","","prune"
"894","Bauhinia_rufa","Bauhinia","Fabaceae","","","prune"
"895","Bauhinia_ungulata","Bauhinia","Fabaceae","","","prune"
"896","Dyckia_leptostachya","Dyckia","Bromeliaceae","","","prune"
"897","Ruellia_brevifolia","Ruellia","Acanthaceae","","","prune"
"898","Aphelandra_longiflora","Aphelandra","Acanthaceae","","","bind"
"899","Bauhinia_brevipes","Bauhinia","Fabaceae","","","bind"
"900","Helicteres_brevispira","Helicteres","Malvaceae","","","bind"
"901","Vochysia_tucanorum","Vochysia","Vochysiaceae","","","prune"
"902","Agarista_coriifolia","Agarista","Ericaceae","","","bind"
"903","Eremanthus_erythropappus","Eremanthus","Asteraceae","","","prune"
"904","Stachytarpheta_glabra","Stachytarpheta","Verbenaceae","","","bind"
"905","Paliavana_sericiflora","Paliavana","Gesneriaceae","","","prune"
"906","Tillandsia_gardneri","Tillandsia","Bromeliaceae","","","bind"
"907","Billbergia_vittata","Billbergia","Bromeliaceae","","","bind"
"908","Billbergia_amoena","Billbergia","Bromeliaceae","","","prune"
"909","Agalinis_angustifolia","Agalinis","Orobanchaceae","","","bind"
"910","Barbacenia_flava","Barbacenia","Velloziaceae","","","prune"
"911","Cipocereus_minensis","Cipocereus","Cactaceae","","","prune"
"912","Encholirium_subsecundum","Encholirium","Bromeliaceae","","","bind"
"913","Lobelia_fistulosa","Lobelia","Campanulaceae","","","prune"
"914","Cuspidaria_lateriflora","Cuspidaria","Bignoniaceae","","","bind"
"915","Vitex_cymosa","Vitex","Lamiaceae","","","bind"
"916","Bromelia_balansae","Bromelia","Bromeliaceae","","","prune"
"917","Cerradicola_elliptica","Cerradicola","Fabaceae","","","bind"
"918","Mutisia_speciosa","Mutisia","Asteraceae","","","prune"
